parent_id,child_id,parent_area_km2,child_area_km2,area_ratio,elev_diff_m,distance_km
02017500,02059500,276.15,485.41,1.7577765707043276,376.13,63.70931710939357
02017500,02064000,276.15,427.77,1.5490494296577948,503.06,109.8540430881335
02027000,02059500,240.77,485.41,2.0160734310753,68.30000000000001,76.7864783812174
02027000,02064000,240.77,427.77,1.7766748349046806,195.23,65.47914302287114
02027500,02059500,123.34,485.41,3.935544024647316,31.389999999999983,73.17848411405934
02027500,02064000,123.34,427.77,3.4682179341657204,158.31999999999996,64.27758672363198
02027500,02065500,123.34,252.58,2.0478352521485323,180.44,73.09764394597649
02027500,02074500,123.34,288.53,2.339305983460353,127.22999999999996,127.59383732252492
02028500,02059500,245.45,485.41,1.977632919128132,58.34000000000003,98.86409089152458
02028500,02064000,245.45,427.77,1.7427989407211244,185.27,83.46515619529123
02053800,02059500,280.72,485.41,1.729160729552579,386.54,66.22383019073946
02053800,02064000,280.72,427.77,1.5238315759475631,513.4699999999999,115.8441251995972
02055100,02027000,30.54,240.77,7.883759004584152,12.550000000000011,90.3380324282436
02055100,02027500,30.54,123.34,4.038637851997381,49.46000000000004,86.05419501791057
02055100,02028500,30.54,245.45,8.037000654878847,22.50999999999999,110.04942056859537
02055100,02059500,30.54,485.41,15.894237066142765,80.85000000000002,45.67718378325439
02055100,02064000,30.54,427.77,14.00687622789784,207.78,92.18205285544263
02055100,02065500,30.54,252.58,8.270464963981665,229.9,110.32203431590736
02055100,02069700,30.54,221.13,7.240667976424361,27.370000000000005,95.7105189522031
02055100,02070000,30.54,270.61,8.86083824492469,91.32999999999998,94.56598887225864
02055100,02074500,30.54,288.53,9.44760969220694,176.69,96.64199936237544
02056900,02059500,298.11,485.41,1.6282915702257557,103.93,32.05755263217034
02069700,02059500,221.13,485.41,2.195134084022973,53.48000000000002,86.1430522969518
02069700,02064000,221.13,427.77,1.9344729344729343,180.41,121.05098326794118
02070000,02064000,270.61,427.77,1.5807619821883891,116.45000000000002,110.53367930408808
