parent_id,child_id
01055000,01030500
01057000,01030500
01047000,01031500
01030500,01031500
01031500,01047000
01057000,01047000
01055000,01052500
01054200,01052500
01057000,01054200
01055000,01054200
01057000,01055000
01054200,01055000
01054200,01057000
01055000,01057000
01144000,01078000
01139000,01078000
01137500,01134500
01139000,01134500
01134500,01137500
01139000,01137500
01137500,01139000
01134500,01139000
01139000,01139800
01142500,01139800
01144000,01142500
01139000,01142500
01142500,01144000
01139000,01144000
01181000,01169000
01187300,01169000
01187300,01181000
01169000,01181000
01181000,01187300
01169000,01187300
01169000,01333000
01181000,01333000
01350080,01350000
01350140,01350000
01350000,01350080
01350140,01350080
01350080,01350140
01350000,01350140
01435000,01365000
01413500,01365000
01491000,01411300
01487000,01411300
01415000,01413500
01350000,01413500
01415000,01414500
01413500,01414500
01414500,01415000
01413500,01415000
01435000,01423000
01350000,01423000
01435000,01434025
01365000,01434025
01365000,01435000
01413500,01435000
01440000,01439500
01451800,01439500
01439500,01440000
01440400,01440000
01439500,01440400
01440000,01440400
01440400,01451800
01439500,01451800
01411300,01466500
01451800,01466500
01487000,01484100
01491000,01484100
01487000,01485500
01491000,01485500
01491000,01487000
01485500,01487000
01484100,01491000
01487000,01491000
04233000,01510000
01423000,01510000
01549500,01516500
01550000,01516500
04221000,01518862
01548500,01518862
01552000,01532000
01550000,01532000
01552000,01539000
01532000,01539000
01543000,01542810
03026500,01542810
01543500,01543000
01542810,01543000
01543000,01543500
01542810,01543500
01545600,01544500
01543500,01544500
01544500,01545600
01548500,01545600
01545600,01547700
01544500,01547700
01549500,01548500
01545600,01548500
01550000,01549500
01548500,01549500
01552000,01550000
01548500,01550000
01550000,01552000
01539000,01552000
01552000,01552500
01539000,01552500
01547700,01557500
01543500,01557500
01568000,01567500
01557500,01567500
01639500,01568000
01613050,01568000
01583500,01580000
01591400,01580000
01580000,01583500
01591400,01583500
01591400,01586610
01583500,01586610
01586610,01591400
01639500,01591400
03066000,01594950
03069500,01594950
03078000,01596500
03076600,01596500
01620500,01605500
01606500,01605500
03069500,01606500
01632000,01606500
01567500,01613050
01639500,01613050
02015700,01620500
01605500,01620500
01632900,01632000
01605500,01632000
01632000,01632900
01634500,01632900
01632900,01634500
01644000,01634500
01644000,01638480
01591400,01638480
01586610,01639500
01591400,01639500
01638480,01644000
01658500,01644000
01664000,01658500
01644000,01658500
01667500,01664000
01666500,01664000
01667500,01666500
01664000,01666500
01664000,01667500
01658500,01667500
01669520,01669000
01667500,01669000
02046000,01669520
01485500,01669520
03182500,02011400
02016000,02011400
02015700,02011460
02011400,02011460
02014000,02013000
02018000,02013000
02013000,02014000
02018000,02014000
02011400,02015700
03180500,02015700
