parent_id,child_id
01055000,01030500
01057000,01030500
01057000,01031500
01030500,01031500
01057000,01047000
01031500,01047000
01030500,01047000
01134500,01047000
01047000,01052500
04296000,01054200
04296000,01057000
01137500,01078000
01054200,01134500
01137500,01139000
01144000,01142500
04296000,01144000
01134500,01144000
01142500,01144000
01169000,01144000
01181000,01169000
01142500,01169000
01350000,01169000
01169000,01181000
01350000,01181000
01435000,01181000
01413500,01181000
01414500,01181000
01365000,01187300
01350000,01333000
01142500,01333000
01413500,01333000
01415000,01350000
01413500,01350000
01415000,01350080
01415000,01350140
01423000,01365000
01413500,01365000
01435000,01365000
01491000,01411300
01487000,01411300
01415000,01413500
01350000,01413500
01435000,01415000
01435000,01423000
01350000,01423000
01350140,01423000
01365000,01423000
01423000,01435000
01350000,01435000
01413500,01435000
01365000,01435000
01440000,01435000
01539000,01439500
01423000,01439500
01413500,01439500
01532000,01439500
01451800,01439500
01440000,01439500
01466500,01439500
01532000,01440000
01435000,01440000
01413500,01440000
01423000,01440000
01539000,01440000
01466500,01440000
01435000,01440400
01423000,01440400
01532000,01440400
01413500,01440400
01539000,01440400
01466500,01451800
01586610,01484100
01491000,01485500
01411300,01485500
01580000,01487000
01491000,01487000
01669000,01487000
01583500,01487000
01639500,01491000
01411300,01491000
01485500,01491000
01580000,01491000
01644000,01491000
01350000,01510000
01413500,01510000
01532000,01510000
01423000,01510000
01365000,01510000
01518862,01510000
01550000,01510000
01552000,01510000
01549500,01510000
01539000,01510000
01548500,01518862
04233000,01518862
01543000,01532000
01552000,01532000
01548500,01532000
01547700,01532000
01510000,01532000
01539000,01532000
01550000,01532000
01440000,01532000
01451800,01532000
01568000,01539000
01548500,01539000
01440000,01539000
01439500,01539000
01567500,01539000
01451800,01539000
01532000,01539000
01552000,01539000
01543500,01539000
01543000,01539000
01552000,01543000
01549500,01543000
01545600,01543000
01547700,01543000
01548500,01543000
01542810,01543000
01543500,01543000
01552000,01543500
01550000,01543500
01542810,01543500
01557500,01543500
01549500,01543500
01547700,01543500
01548500,01543500
03015500,01543500
01552000,01544500
01547700,01544500
04221000,01544500
01550000,01544500
03010655,01544500
03010655,01545600
03011800,01545600
04221000,01545600
01518862,01547700
01567500,01547700
01539000,01547700
03028000,01547700
01552000,01548500
01547700,01548500
01550000,01548500
01552500,01548500
01557500,01548500
01539000,01548500
04224775,01548500
01532000,01548500
01545600,01549500
01518862,01549500
04233000,01549500
01548500,01550000
01544500,01550000
04221000,01550000
01532000,01550000
01552000,01550000
01547700,01550000
04233000,01550000
01451800,01550000
01557500,01550000
01510000,01550000
01568000,01550000
01548500,01552000
01543500,01552000
01539000,01552000
04233000,01552000
01568000,01552000
