parent_id,child_id,parent_area_km2,child_area_km2,area_ratio,elev_diff_m,distance_km
01031500,01030500,769.05,3676.17,4.780144333918472,104.0,86.77576551324711
01047000,01030500,909.1,3676.17,4.043746562534374,166.57999999999998,147.10030148755948
01052500,01031500,383.82,769.05,2.003673596998593,367.9,140.90529895076415
01052500,01047000,383.82,909.1,2.368558178312751,305.32000000000005,86.87284700500555
01054200,01047000,180.98,909.1,5.02320698419715,161.93,96.9894378491406
01054200,01144000,180.98,1790.24,9.891921759310424,12.509999999999993,137.36274712811837
01054200,04296000,180.98,302.19,1.6697425129848602,81.32,115.14617688690716
01055000,01031500,250.64,769.05,3.0683450367060328,175.32,116.48867587022424
01055000,01047000,250.64,909.1,3.627114586658156,112.74,56.01431684529079
01134500,04296000,195.13,302.19,1.5486598677804542,59.55000000000001,52.42349904344766
01137500,01047000,228.55,909.1,3.9776854080070008,474.47,148.55647305840773
01137500,01052500,228.55,383.82,1.6793699409319622,169.14999999999998,81.48917474748906
01137500,01144000,228.55,1790.24,7.833034346970028,325.05,88.16076650539004
01139800,01054200,22.8,180.98,7.937719298245613,45.839999999999975,112.97385520559176
01139800,01057000,22.8,190.92,8.373684210526315,302.55999999999995,145.08211904532462
01139800,01078000,22.8,222.46,9.75701754385965,171.22999999999996,75.15940146440524
01139800,01134500,22.8,195.13,8.558333333333334,67.60999999999996,61.17268941060132
01139800,01139000,22.8,246.33,10.803947368421053,144.81,22.523400831012424
01139800,01142500,22.8,82.17,3.603947368421053,171.52999999999997,31.208229537530944
01139800,01144000,22.8,1790.24,78.51929824561404,58.349999999999966,42.61410530737784
01139800,04296000,22.8,302.19,13.253947368421052,127.15999999999995,86.45492489834304
01333000,01144000,112.16,1790.24,15.96148359486448,26.110000000000014,128.3601147326069
01333000,01169000,112.16,230.64,2.056348074179743,111.02000000000004,39.351249509812696
01333000,01181000,112.16,243.5,2.1710057061340944,67.98000000000002,57.97004819823376
01350080,01169000,83.84,230.64,2.7509541984732824,212.46000000000004,141.37112908596285
01350080,01181000,83.84,243.5,2.904341603053435,169.42000000000002,125.73276261176464
01350080,01435000,83.84,172.46,2.057013358778626,27.300000000000068,56.07705253040602
01350080,01440000,83.84,167.72,2.000477099236641,353.15000000000003,148.1739524518792
01350080,01510000,83.84,382.99,4.568105916030534,105.14000000000004,123.31978749008714
01350140,01169000,43.76,230.64,5.270566727605119,204.85,145.09188885677096
