parent_id,child_id,parent_area_km2,child_area_km2,area_ratio,elev_diff_m,distance_km
08103900,08104900,86.0,342.62,3.983953488372093,65.53000000000003,45.847045700643505
08103900,08109700,86.0,610.13,7.0945348837209306,239.92000000000002,125.64081291863893
08103900,08155200,86.0,232.74,2.706279069767442,45.64000000000004,69.23845525349134
08103900,08158700,86.0,320.34,3.724883720930232,15.0,92.17629963503886
08103900,08171300,86.0,1067.47,12.412441860465117,3.740000000000009,104.36694793968344
08104900,08109700,342.62,610.13,1.7807775377969761,174.39,81.81057145674693
08109700,08175000,610.13,1421.66,2.3300935866126893,29.780000000000015,135.60303215788724
08150800,08101000,557.52,1177.1,2.111314392308796,175.41999999999996,135.70274899690233
08150800,08171300,557.52,1067.47,1.914675706701105,184.41999999999996,135.6915850653465
08150800,08178880,557.52,850.58,1.525649304060841,21.090000000000032,102.29390574416139
08155200,08109700,232.74,610.13,2.621508979977657,194.27999999999997,98.10755933628192
08155200,08164300,232.74,861.54,3.701727249291054,234.60999999999999,141.47797374802244
08155200,08175000,232.74,1421.66,6.1083612614935126,224.06,128.69672287230722
08158700,08109700,320.34,610.13,1.9046325778859963,224.92000000000002,109.76459911660184
08158700,08164300,320.34,861.54,2.6894549541112567,265.25,134.14752994151624
08158700,08175000,320.34,1421.66,4.437972154585753,254.70000000000005,110.55009288828867
08158810,08109700,31.79,610.13,19.192513368983956,165.0,101.52833702226606
08158810,08164300,31.79,861.54,27.100975149418055,205.33,133.0046866386552
08158810,08175000,31.79,1421.66,44.720352312047815,194.78000000000003,114.78878895230767
08164300,08164000,861.54,2124.0,2.465352740441535,29.629999999999995,57.687246511899914
08164300,08189500,861.54,1808.29,2.0989042876709147,35.41,138.31630596448892
08165300,08171300,435.99,1067.47,2.4483818436202665,289.98,142.5101617252508
08165300,08178880,435.99,850.58,1.950916305419849,126.65000000000009,48.63175674336059
08165300,08190000,435.99,1961.43,4.498795843941375,101.44000000000005,92.00773901176122
08165300,08190500,435.99,1799.09,4.1264478543085845,78.81000000000006,105.10278851305146
08165300,08195000,435.99,1028.29,2.3585173971880087,91.00999999999999,70.96614699259793
08176900,08164000,925.44,2124.0,2.2951244813278007,15.36,53.688078762741725
08176900,08189500,925.44,1808.29,1.9539786479944674,21.14,63.557058622818424
08195000,08190000,1028.29,1961.43,1.9074677377004543,10.430000000000064,29.095674065150906
08196000,08198500,326.98,624.35,1.909444002691296,97.32,36.028868265655504
08200000,08171300,249.11,1067.47,4.285135080887961,85.10999999999996,136.81977321720782
08200000,08198500,249.11,624.35,2.506322508128939,24.889999999999986,36.313213543309686
08200000,08202700,249.11,434.75,1.7452129581309461,65.31,22.469695594392316
08202700,08171300,434.75,1067.47,2.455365152386429,19.799999999999955,149.32537448400956
